ENELEXT.ENEL_CUADRE_LIQ_ONLINE;2743
ENELEXT.ENEL_CRE_RICORRENTE_STORES_6M;605
ENELEXT.ENEL_E4E_NEGATIVOS_TEMP_PTG;2
ENELEXT.ENEL_LEADS_CAT_TVTA;10
ENELEXT.ENEL_LIQSCAWEB_FINAL_LEADS_WBE_TF;0
ENELEXT.ENEL_TM18_ALIADOS;992
ENELEXT.ENEL_CRE_RICORRENTE_TF_6M;7740
ENELEXT.ENEL_E4E_DEPOSIT_TEMP_CESP;9
ENELEXT.ENEL_E4E_DEPOSIT_TEMP_CETF;0
ENELEXT.ENEL_PDS_TEMP_CCDD;12
ENELEXT.ENEL_E4E_DEPOSIT_CCDD_TEMP_2;12
ENELEXT.ENEL_EQUIPAMIENTO_TEMP;493
ENELEXT.ENEL_EQUIPAMIENTO_TEMP_TF;493
ENELEXT.ENEL_INFPDS_TXN_TEMP;55
ENELEXT.ENEL_PAYEE_TEMP_CAT_TVTA;22
ENELEXT.ENEL_PDS_TEMP_TF;404
ENELEXT.ENEL_CREDIT_TEMP_CCDD;77
ENELEXT.ENEL_DEPOSIT_TEMP_OFV;0
ENELEXT.ENEL_E4E_CONTRATOS_TEMP_CEBP;5083
ENELEXT.ENEL_E4E_DEPOSIT_TEMP;63
ENELEXT.ENEL_PRODUCTOS_TEMP;1277
ENELEXT.ENEL_CONSECUCION_TEMP_OFV;1899
ENELEXT.ENEL_CREDIT_TEMP_CESP;24
ENELEXT.ENEL_ENTRADA_TIPO_SUBTIPO_TEMP;183498
ENELEXT.ENEL_DISPUTAS_CES;11
ENELEXT.ENEL_LIQUIDACION_CEIS;9922
ENELEXT.ENEL_GRALPROV_DETALLE_ALIADO;5512
ENELEXT.ENEL_COMP_SCAWEB_E4E_ALIADO;182
ENELEXT.ENEL_NEW_CONSECUCION_TEMP2_OFV;493
ENELEXT.ENEL_TXN_TEMP_D2D;543429
ENELEXT.ENEL_TXN_TEMP_LOJAS;7009
ENELEXT.ENEL_TXN_TEMP_RESELLER;1389
ENELEXT.ENEL_INCEN_TEMP_RESELLERS;17889
ENELEXT.ENEL_INCEN_TM2_ALICO;1526
ENELEXT.ENEL_COMP_SCAWEB_E4E_PTG;296
ENELEXT.ENEL_CRE_RICORRENTE_TF_36M;0
ENELEXT.ENEL_E4E_FINAL_CETF;1032
ENELEXT.ENEL_E4E_FINAL_CETVTA;362
ENELEXT.ENEL_PREFACT_DETALLE_CCDD;0
ENELEXT.ENEL_RENOVACION_CCDD;0
ENELEXT.ENEL_COMP_SCAWEB_E4E_CCDD;255
ENELEXT.ENEL_GRALPROV_DETALLE_CCDD;246
ENELEXT.ENEL_E4E_NEGATIVOS_TEMP_CETVTA;124
ENELEXT.ENEL_E4E_NEGATIVOS_TF;529
ENELEXT.ENEL_E4E_NEG_TEMP_CAT_TVTA;31
ENELEXT.ENEL_CRE_RICORRENTE_14M;19455
ENELEXT.ENEL_LIQSCAWEB_FINAL_TF;1333207
ENELEXT.ENEL_LIQUIDACION_CETF;6937
ENELEXT.ENEL_MEDIDAS_FINAL_VOLUMEN;778
ENELEXT.ENEL_FACTOPE_RESUMEN;9472
ENELEXT.ENEL_GRALPROV_DETALLE;154864
ENELEXT.ENEL_MEDIDAS_FINAL_VOL_GAS;751
ENELEXT.ENEL_MEDIDAS_TEMP_CEBP;3586
ENELEXT.ENEL_MEDIDAS_TEMP_CESP;652
ENELEXT.ENEL_PREFACTURA_CEBP;14552
ENELEXT.ENEL_RAPPELES;274347
ENELEXT.ENEL_RAPPELES_WBE;152138
ENELEXT.ENEL_COMP_E4E_CEBP;1649
ENELEXT.ENEL_COMP_SCAWEB_E4E;165849
ENELEXT.ENEL_CREDITOS_FINAL_PSVA_FIJA;205680
ENELEXT.ENEL_COMP_SCAWEB_E4E_CAB_TF;983
ENELEXT.ENEL_TM_MENSUAL;5
ENELEXT.ENEL_AGR_FAC_PREFACTURA_CES;47857
ENELEXT.ENEL_EQUIPAMIENTO_TEMP_CEBP;493
ENELEXT.ENEL_EQUIPAMIENTO_TEMP_CESP;493
ENELEXT.ENEL_ANDROMEDA_CREDIT_TEMP;0
ENELEXT.ENEL_CAT_TVTA_APORTE_TEMP;128
ENELEXT.ENEL_OFV_BORRADO;119
ENELEXT.ENEL_ORDER_IMPU_TEMP_CESP;12
ENELEXT.ENEL_PARTICIPANTES_DTM;3913
ENELEXT.ENEL_DEPOSIT_TEMP_CEBP;0
ENELEXT.ENEL_DEPOSIT_TEMP_CETF;0
ENELEXT.ENEL_E4E_CONTRATOS_TEMP;5083
ENELEXT.ENEL_PRODUCTOS_TEMP_OFV;944
ENELEXT.ENEL_CREDIT_TEMP_TF;2889
ENELEXT.ENEL_E4E_NEGATIVOS_TEMP_CEIS;164
ENELEXT.ENEL_PDS_TEMP_ALICO;63
ENELEXT.ENEL_RESUMEN_LIQ_RES_ONL;57175
ENELEXT.ENEL_TXN_TEMP_CEIS_2;2606
ENELEXT.ENEL_E4E_CONTRATOS_PTG_TEMP;5083
ENELEXT.ENEL_E4E_FINAL_TF;22942
ENELEXT.ENEL_E4E_INF_CAT_TVTA;0
ENELEXT.ENEL_E4E_NEGATIVOS_TEMP;678
ENELEXT.ENEL_E4E_NEGATIVOS_CCDD;228
ENELEXT.ENEL_RAPPELES_CCDD;23
ENELEXT.ENEL_CRE_RICORRENTE_DIAS_TF;237046
ENELEXT.ENEL_CUADRELIQ_CCDD_SLA;493920
ENELEXT.ENEL_CAT_TVTA_INCEN_PENAL;0
ENELEXT.ENEL_CAT_TVTA_INCEN_PENAL_TEMP;0
ENELEXT.ENEL_RAPPELES_LIQ_CCDD;8213589
ENELEXT.ENEL_INFORME_STP;2663914
ENELEXT.ENEL_LIQUIDACION_CESP;13297
ENELEXT.ENEL_FACTOPE_RESUMEN_EOSC;9393
ENELEXT.ENEL_PAGOS_RESUMEN;2212
ENELEXT.ENEL_PREFACTURA_CETVTA;24755
ENELEXT.ENEL_RAPPELES_TF;2538880
ENELEXT.ENEL_CREDITOS_FINAL_OFV;91971
ENELEXT.ENEL_CREDITOS_FINAL_OFV_FIJA;92066
ENELEXT.ENEL_CREDIT_FINAL_VOL_GAS_FIJA;3937751
ENELEXT.ENEL_REGISTROS_TXN_CES;3048
ENELEXT.ENEL_SCAWEB_LIQUIDACION_TF;1232919
ENELEXT.ENEL_CREDITOS_INCEN_ALICO;81330
ENELEXT.ENEL_CRE_RICORRENTE_STORES_12M;199
ENELEXT.ENEL_PROVEEDORES_TEMP_PTG;0
ENELEXT.ENEL_E4E_DEPOSIT_TF_TEMP_2;27
ENELEXT.ENEL_PROVEEDORES_TEMP_CCDD;216
ENELEXT.ENEL_PRODUCTOS_TEMP_CCDD;318
ENELEXT.ENEL_EQUIPAMIENTO_TEMP_OFV;493
ENELEXT.ENEL_FACTOPE_DETALLE_EOSC;0
ENELEXT.ENEL_CAT_TVTA_IP_TOTAL_TEMP;292
